label,spaceMission,launchPlaceName,country,spaceAgencyName,astroName,birthPlaceName,latLong
Q11699464,http://www.wikidata.org/entity/Q11699464,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,National Aeronautics and Space Administration,,,"28.4467,-80.5661"
Q41703834,http://www.wikidata.org/entity/Q41703834,Uchinoura Space Center,Japan,Japan Aerospace Exploration Agency,,,"31.251944444,131.081944444"
Q41703834,http://www.wikidata.org/entity/Q41703834,Uchinoura Space Center,Japan,National Aeronautics and Space Administration,,,"31.251944444,131.081944444"
Q686920,http://www.wikidata.org/entity/Q686920,Baikonur Cosmodrome,Kazakhstan,Soviet space program,,,"45.9648,63.3051"
2001 Mars Odyssey,http://www.wikidata.org/entity/Q207164,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,Jet Propulsion Laboratory,,,"28.4467,-80.5661"
2001 Mars Odyssey,http://www.wikidata.org/entity/Q207164,Cape Canaveral Air Force Station Space Launch Complex 17,United States of America,National Aeronautics and Space Administration,,,"28.4467,-80.5661"
A Broadband Imaging X-ray All-sky Survey,http://www.wikidata.org/entity/Q14918,Kapustin Yar,Russia,German Aerospace Center,,,"48.5655,46.2952"
A-101,http://www.wikidata.org/entity/Q277719,Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
A-102 (spacecraft),http://www.wikidata.org/entity/Q277726,Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
A-103 (spacecraft),http://www.wikidata.org/entity/Q277734,Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
A-104 (spacecraft),http://www.wikidata.org/entity/Q277739,Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
A-105,http://www.wikidata.org/entity/Q277747,Cape Canaveral Air Force Station Space Launch Complex 37,United States of America,National Aeronautics and Space Administration,,,"28.532,-80.5668"
AAUSAT3,http://www.wikidata.org/entity/Q4649953,Satish Dhawan Space Centre First Launch Pad,India,Aalborg University,,,"13.733,80.235"
ABS-3,http://www.wikidata.org/entity/Q4692529,Xichang Satellite Launch Center,People's Republic of China,Mabuhay Satellite Corporation,,,"28.246016666,102.026555555"
ABS-3A,http://www.wikidata.org/entity/Q19467797,Cape Canaveral Air Force Station Space Launch Complex 40,United States of America,Asia Broadcast Satellite,,,"28.5621,-80.5772"
ADEOS I,http://www.wikidata.org/entity/Q14927,Yoshinobu Launch Complex,Japan,National Space Development Agency,,,"30.4022,130.975"
ADEOS II,http://www.wikidata.org/entity/Q14933,Yoshinobu Launch Complex,Japan,National Space Development Agency,,,"30.4022,130.975"
ADM-Aeolus,http://www.wikidata.org/entity/Q290390,Guiana Space Centre,France,European Space Agency,,,"5.237222222,-52.760555555"
AGILE,http://www.wikidata.org/entity/Q14951,Satish Dhawan Space Centre Second Launch Pad,India,Italian Space Agency,,,"13.7199,80.2304"
ALOS-2,http://www.wikidata.org/entity/Q16937207,Yoshinobu Launch Complex,Japan,Japan Aerospace Exploration Agency,,,"30.4022,130.975"
AMC 1,http://www.wikidata.org/entity/Q4652562,Spaceport Florida Launch Complex 36,United States of America,SES Americom,,,"28.470555555,-80.54"
AMC-18,http://www.wikidata.org/entity/Q294633,ELA-3,France,SES Americom,,,"5.2406,-52.7708"
AMC-3,http://www.wikidata.org/entity/Q4652553,Spaceport Florida Launch Complex 36,United States of America,SES Americom,,,"28.470555555,-80.54"
AMC-7,http://www.wikidata.org/entity/Q4652550,ELA-3,France,SES S.A.,,,"5.2406,-52.7708"
AMC-8,http://www.wikidata.org/entity/Q4652551,ELA-3,France,SES Americom,,,"5.2406,-52.7708"
AMSAT-OSCAR 7,http://www.wikidata.org/entity/Q2278545,Vandenberg AFB Space Launch Complex 2,United States of America,AMSAT,,,"34.7545,-120.62"
ANUSAT,http://www.wikidata.org/entity/Q14984,Satish Dhawan Space Centre Second Launch Pad,India,Anna University,,,"13.7199,80.2304"
ARSAT-1,http://www.wikidata.org/entity/Q4653923,ELA-3,France,ARSAT,,,"5.2406,-52.7708"
ARSAT-2,http://www.wikidata.org/entity/Q17709488,ELA-3,France,ARSAT,,,"5.2406,-52.7708"
AS-202,http://www.wikidata.org/entity/Q297077,Cape Canaveral Air Force Station Launch Complex 34,United States of America,National Aeronautics and Space Administration,,,"28.5219,-80.5614"
ATS-1,http://www.wikidata.org/entity/Q4654903,Cape Canaveral Air Force Station Launch Complex 12,United States of America,National Aeronautics and Space Administration,,,"28.4803,-80.5419"
ATS-3,http://www.wikidata.org/entity/Q3390184,Cape Canaveral Air Force Station Launch Complex 12,United States of America,National Aeronautics and Space Administration,,,"28.4803,-80.5419"
ATS-6,http://www.wikidata.org/entity/Q2819560,Cape Canaveral Air Force Station Space Launch Complex 40,United States of America,National Aeronautics and Space Administration,,,"28.5621,-80.5772"
Active Cavity Radiometer Irradiance Monitor Satellite,http://www.wikidata.org/entity/Q15010,Vandenberg AFB Launch Complex 576,United States of America,Jet Propulsion Laboratory,,,"34.7394,-120.619"
Active Cavity Radiometer Irradiance Monitor Satellite,http://www.wikidata.org/entity/Q15010,Vandenberg AFB Launch Complex 576,United States of America,National Aeronautics and Space Administration,,,"34.7394,-120.619"
Advanced Land Observation Satellite,http://www.wikidata.org/entity/Q49480,Yoshinobu Launch Complex,Japan,Japan Aerospace Exploration Agency,,,"30.4022,130.975"
AeroCube 3,http://www.wikidata.org/entity/Q2825584,Mid-Atlantic Regional Spaceport Launch Pad 0,United States of America,The Aerospace Corporation,,,"37.85,-75.466666666"
Akari (satellite),http://www.wikidata.org/entity/Q298047,Uchinoura Space Center,Japan,Japan Aerospace Exploration Agency,,,"31.251944444,131.081944444"
Akebono,http://www.wikidata.org/entity/Q2828969,Uchinoura Space Center,Japan,Institute of Space and Astronautical Science,,,"31.251944444,131.081944444"
Alexander (satellite),http://www.wikidata.org/entity/Q14174564,Mid-Atlantic Regional Spaceport Launch Pad 0,United States of America,National Aeronautics and Space Administration,,,"37.85,-75.466666666"
Alouette 1,http://www.wikidata.org/entity/Q1422160,Vandenberg AFB Space Launch Complex 2,United States of America,Defence Research and Development Canada,,,"34.7545,-120.62"
Alouette 2,http://www.wikidata.org/entity/Q2650602,Vandenberg AFB Space Launch Complex 2,United States of America,Defence Research and Development Canada,,,"34.7545,-120.62"
Amazonas 3,http://www.wikidata.org/entity/Q4740877,ELA-3,France,Hispasat,,,"5.2406,-52.7708"
Apolla 6,http://www.wikidata.org/entity/Q222871,Kennedy Space Center Launch Complex 39,United States of America,National Aeronautics and Space Administration,,,"28.6084,-80.6043"
